https://cdn.yamibuy.net/item/25c4151c9ff9b7abb14dd8193e17b390_684x684.webp,友臣  原味早餐肉松饼 金丝肉松饼 495g 15枚,周销量 6000+,$7.89
https://cdn.yamibuy.net/item/3bc48ada4178420b859afab38ac4a60a_684x684.webp,卫龙 怀旧大面筋 辣条 102g,周销量 4000+,$1.09
https://cdn.yamibuy.net/item/1e588ca9d70745d86f8473221dea8fe3_684x684.webp,盼盼 手撕面包 奶香味 12枚入 480g,周销量 2000+,$4.99
https://cdn.yamibuy.net/item/684bd7deac979820684713fd58b8bc6e_684x684.webp,【全美最低价】日本D-PLUS 天然酵母持久保鲜面包 北海道奶油味日本 80g,周销量 3000+,$1.99
https://cdn.yamibuy.net/item/373faa836dc819345db77816611dc988_684x684.webp,【王嘉尔推荐】台湾徐福记 沙琪玛 松软系列 鸡蛋味 16块入 526g,周销量 2000+,$5.49
https://cdn.yamibuy.net/item/b8100301a2a19edd720e55ad44c4561b_684x684.webp,【甜香薄脆 无法拒绝的味道】韩国HAITAI海太 蜂蜜黄油薯片 60g 【Aespa推荐】,周销量 2000+,$2.09
https://cdn.yamibuy.net/item/0450a7554d0a6f572c37fca04f512d62_684x684.webp,卫龙 魔芋爽 素毛肚 香辣味 20包入 360g,周销量 3000+,$5.99
https://cdn.yamibuy.net/item/938b4ca881ae323783be2351c8974fe1_684x684.webp,【辣条界扛把子】麻辣王子 辣条 很麻很辣 90g【真的很麻狠辣!!】,周销量 5000+,$2.29
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,【超值分享装】海南椰树牌 椰汁 6盒装 245ml*6 国宴饮料,周销量 1000+,$7.69
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,徐福记 厚切凤梨酥 土凤梨口味 190g,周销量 1000+,$4.69
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,【全网最低价】康师傅 冰红茶 柠檬口味 500ml,周销量 5000+,$1.29
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,李子柒 每日桂花坚果藕粉羹 350g,周销量 1000+,$10.99
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,【网红爆品】日本NOMURA野村 天日盐煎豆小圆饼 薄脆饼干 130g 各大网红推荐 煲剧零食必备,周销量 1000+,$2.89
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,奇多 玉米棒 日式牛排味 50g,周销量 2000+,$1.99
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OISHI上好佳 鲜虾片 80g,周销量 1000+,$2.99
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,元气森林 白桃味苏打气泡水 480ml,周销量 3000+,$1.69
//cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,稻香村 牛舌饼 360g,周销量 800+,$4.79
